#{"t_start": 1615253180.0972133, "env_id": "commonroad-v0"}
r,l,t,is_collision,is_time_out,is_off_road,is_back_collision,is_goal_reached,scenario_name
-9.711269,308,4023.040784,0,1,0,0,0,DEU_AAH-1_90067_T-1
0.368127,77,4051.07442,0,0,0,0,0,DEU_AAH-1_1300137_T-1
-22.380651,205,4076.479932,0,1,0,0,0,DEU_AAH-1_100046_T-1
64.3,160,4095.714696,0,0,0,0,1,DEU_AAH-1_90033_T-1
-7.985173,45,4099.609133,0,0,0,0,0,DEU_AAH-1_110083_T-1
-8.887784,65,4107.64338,1,0,0,0,0,DEU_AAH-1_110067_T-1
-0.294688,217,4131.916311,0,1,0,0,0,DEU_AAH-1_170079_T-1
-38.712027,324,4150.716333,0,1,0,0,0,DEU_AAH-1_80065_T-1
70.0,18,4153.450305,0,0,0,0,1,DEU_AAH-1_80067_T-1
64.2,180,4171.627177,0,0,0,0,1,DEU_AAH-1_80080_T-1
-29.315439,135,4186.790779,0,0,0,1,0,DEU_AAH-1_100094_T-1
2.972363,66,4194.903925,0,0,0,0,0,DEU_AAH-1_110055_T-1
-28.020801,206,4221.987172,0,1,0,0,0,DEU_AAH-1_100044_T-1
-3.048017,186,4243.781673,0,1,0,0,0,DEU_AAH-1_1300168_T-1
58.4,207,4280.257537,0,0,0,0,1,DEU_AAH-1_90049_T-1
67.5,122,4291.336577,0,0,0,0,1,DEU_AAH-1_120045_T-1
65.8,139,4306.581422,0,0,0,0,1,DEU_AAH-1_90010_T-1
2.946724,191,4324.090109,0,1,0,0,0,DEU_AAH-1_110070_T-1
2.428912,185,4347.733251,0,1,0,0,0,DEU_AAH-1_100021_T-1
-8.176095,223,4386.612375,0,1,0,0,0,DEU_AAH-1_1300110_T-1
67.7,98,4402.725525,0,0,0,0,1,DEU_AAH-1_120039_T-1
64.1,177,4422.052789,0,0,0,0,1,DEU_AAH-1_110046_T-1
-7.994813,245,4448.948227,0,1,0,0,0,DEU_AAH-1_80069_T-1
-97.777475,316,4476.913477,0,0,1,0,0,DEU_AAH-1_110019_T-1
-0.934135,44,4486.790597,0,0,0,0,0,DEU_AAH-1_160096_T-1
65.2,141,4499.159453,0,0,0,0,1,DEU_AAH-1_100073_T-1
65.4,142,4511.622965,0,0,0,0,1,DEU_AAH-1_110011_T-1
-55.366349,207,4569.751959,0,0,1,0,0,DEU_AAH-1_1300137_T-1
1.217944,201,4591.813637,0,1,0,0,0,DEU_AAH-1_110026_T-1
-11.411017,198,4615.692294,0,0,0,0,0,DEU_AAH-1_80064_T-1
-41.185669,228,4647.056111,0,1,0,0,0,DEU_AAH-1_100082_T-1
0.463374,55,4655.521057,0,0,0,0,0,DEU_AAH-1_80021_T-1
-23.427494,206,4683.777742,0,1,0,0,0,DEU_AAH-1_100044_T-1
63.696462,165,4707.892711,0,0,0,0,1,DEU_AAH-1_90047_T-1
65.4,136,4722.981287,0,0,0,0,1,DEU_AAH-1_90017_T-1
70.0,4,4726.682148,0,0,0,0,1,DEU_AAH-1_90035_T-1
-10.26089,129,4746.053662,1,0,0,0,0,DEU_AAH-1_150016_T-1
-67.817648,266,4767.585562,0,1,0,0,0,DEU_AAH-1_80053_T-1
-8.582195,244,4806.369315,0,1,0,0,0,DEU_AAH-1_90050_T-1
66.3,133,4820.445108,0,0,0,0,1,DEU_AAH-1_80078_T-1
-1.301124,99,4855.993672,0,0,0,0,0,DEU_AAH-1_1300137_T-1
-67.257624,227,4881.491071,0,1,0,0,0,DEU_AAH-1_100089_T-1
-3.332742,244,4929.379336,0,1,0,0,0,DEU_AAH-1_90050_T-1
64.4,173,4948.945107,0,0,0,0,1,DEU_AAH-1_800141_T-1
65.7,146,4966.346491,0,0,0,0,1,DEU_AAH-1_150022_T-1
63.9,200,4996.323435,0,0,0,0,1,DEU_AAH-1_80015_T-1
65.2,159,5016.475051,0,0,0,0,1,DEU_AAH-1_130042_T-1
-5.463176,178,5041.101635,0,1,0,0,0,DEU_AAH-1_110035_T-1
-14.788978,104,5061.217161,0,0,0,1,0,DEU_AAH-1_100079_T-1
58.873013,169,5101.962185,0,0,0,0,1,DEU_AAH-1_130077_T-1
-56.57347,350,5141.4294,0,1,0,0,0,DEU_AAH-1_150026_T-1
-102.299127,236,5172.083808,0,0,1,0,0,DEU_AAH-1_90019_T-1
65.3,145,5191.632753,0,0,0,0,1,DEU_AAH-1_100091_T-1
-10.504921,91,5207.661203,1,0,0,0,0,DEU_AAH-1_110036_T-1
59.8,211,5230.293662,0,0,0,0,1,DEU_AAH-1_80028_T-1
-5.054273,245,5259.582889,0,1,0,0,0,DEU_AAH-1_80069_T-1
65.9,144,5278.398875,0,0,0,0,1,DEU_AAH-1_130082_T-1
-46.336003,184,5305.182259,0,1,0,0,0,DEU_AAH-1_110045_T-1
9.120476,175,5344.041767,0,0,0,0,0,DEU_AAH-1_150082_T-1
66.4,125,5359.185102,0,0,0,0,1,DEU_AAH-1_110082_T-1
-12.908629,142,5391.36059,0,0,0,1,0,DEU_AAH-1_180054_T-1
-120.729904,285,5430.344849,0,0,1,0,0,DEU_AAH-1_130048_T-1
55.9,210,5463.151412,0,0,0,0,1,DEU_AAH-1_170037_T-1
-12.649854,244,5492.306523,0,1,0,0,0,DEU_AAH-1_80029_T-1
65.4,140,5509.106709,0,0,0,0,1,DEU_AAH-1_90028_T-1
-68.333319,207,5536.564439,0,0,1,0,0,DEU_AAH-1_800151_T-1
-12.236849,292,5585.902455,0,0,0,1,0,DEU_AAH-1_130068_T-1
65.7,144,5603.714594,0,0,0,0,1,DEU_AAH-1_80095_T-1
66.4,126,5617.623865,0,0,0,0,1,DEU_AAH-1_110082_T-1
65.8,124,5635.018393,0,0,0,0,1,DEU_AAH-1_110044_T-1
65.5,138,5650.072096,0,0,0,0,1,DEU_AAH-1_90028_T-1
65.5,153,5670.404397,0,0,0,0,1,DEU_AAH-1_100021_T-1
65.3,189,5685.331643,0,0,0,0,1,DEU_AAH-1_100024_T-1
3.544075,180,5711.528439,0,1,0,0,0,DEU_AAH-1_160072_T-1
-19.709332,221,5730.583526,0,0,0,0,0,DEU_AAH-1_80096_T-1
53.9,276,5775.250137,0,0,0,0,1,DEU_AAH-1_1000214_T-1
65.4,164,5791.001431,0,0,0,0,1,DEU_AAH-1_80042_T-1
-23.088229,130,5829.126454,0,0,0,1,0,DEU_AAH-1_1400107_T-1
65.9,118,5839.403437,0,0,0,0,1,DEU_AAH-1_100099_T-1
-150.73429,228,5861.060331,0,0,1,0,0,DEU_AAH-1_80028_T-1
64.3,181,5880.600553,0,0,0,0,1,DEU_AAH-1_160044_T-1
-56.31749,213,5910.28084,0,1,0,0,0,DEU_AAH-1_90049_T-1
65.5,164,5934.251065,0,0,0,0,1,DEU_AAH-1_120034_T-1
-27.482918,191,5975.49159,0,0,0,1,0,DEU_AAH-1_150099_T-1
-21.466625,162,5995.517103,1,0,0,0,0,DEU_AAH-1_80066_T-1
66.2,140,6015.004855,0,0,0,0,1,DEU_AAH-1_80014_T-1
61.5,197,6040.116051,0,0,0,0,1,DEU_AAH-1_90069_T-1
65.598411,148,6058.100685,0,0,0,0,1,DEU_AAH-1_160072_T-1
64.9,148,6075.440756,0,0,0,0,1,DEU_AAH-1_100071_T-1
-12.424142,156,6091.983553,1,0,0,0,0,DEU_AAH-1_150016_T-1
46.3,193,6112.149265,0,0,0,0,1,DEU_AAH-1_1100168_T-1
66.5,125,6127.735062,0,0,0,0,1,DEU_AAH-1_80078_T-1
66.3,142,6147.154631,0,0,0,0,1,DEU_AAH-1_140053_T-1
66.19683,121,6161.280339,0,0,0,0,1,DEU_AAH-1_90041_T-1
1.603485,195,6208.195239,0,1,0,0,0,DEU_AAH-1_110033_T-1
65.1,148,6225.24162,0,0,0,0,1,DEU_AAH-1_110075_T-1
4.844779,66,6234.833477,0,0,0,0,0,DEU_AAH-1_110044_T-1
55.5,227,6253.843586,0,0,0,0,1,DEU_AAH-1_80075_T-1
-177.711366,230,6284.121581,0,0,1,0,0,DEU_AAH-1_80020_T-1
66.3,132,6304.382625,0,0,0,0,1,DEU_AAH-1_150022_T-1
-27.682751,201,6343.250676,0,1,0,0,0,DEU_AAH-1_80018_T-1
-16.4643,156,6377.728626,0,0,0,1,0,DEU_AAH-1_90085_T-1
66.3,120,6393.437746,0,0,0,0,1,DEU_AAH-1_90017_T-1
-5.086711,340,6429.583096,0,1,0,0,0,DEU_AAH-1_130098_T-1
66.4,120,6445.145477,0,0,0,0,1,DEU_AAH-1_100056_T-1
-16.750657,350,6469.767818,0,1,0,0,0,DEU_AAH-1_80028_T-1
-10.936858,111,6492.830808,1,0,0,0,0,DEU_AAH-1_170067_T-1
65.6,161,6511.8984,0,0,0,0,1,DEU_AAH-1_110058_T-1
66.093939,124,6527.989264,0,0,0,0,1,DEU_AAH-1_90047_T-1
66.4,118,6542.078634,0,0,0,0,1,DEU_AAH-1_90033_T-1
64.2,191,6576.103524,0,0,0,0,1,DEU_AAH-1_90050_T-1
-0.895404,44,6583.111932,0,0,0,0,0,DEU_AAH-1_160096_T-1
66.4,118,6597.242346,0,0,0,0,1,DEU_AAH-1_90033_T-1
-3.172842,171,6624.014687,0,0,0,0,0,DEU_AAH-1_110039_T-1
-15.613168,310,6669.213014,0,1,0,0,0,DEU_AAH-1_80019_T-1
66.3,134,6681.709972,0,0,0,0,1,DEU_AAH-1_110070_T-1
65.4,144,6700.233799,0,0,0,0,1,DEU_AAH-1_100042_T-1
65.2,157,6726.68568,0,0,0,0,1,DEU_AAH-1_80022_T-1
65.9,153,6766.910496,0,0,0,0,1,DEU_AAH-1_160051_T-1
-40.425459,181,6784.920602,0,1,0,0,0,DEU_AAH-1_80027_T-1
70.0,18,6787.643751,0,0,0,0,1,DEU_AAH-1_80067_T-1
3.541654,64,6799.784705,0,0,0,0,0,DEU_AAH-1_90098_T-1
65.9,127,6814.2483,0,0,0,0,1,DEU_AAH-1_90038_T-1
0.381465,212,6835.947141,0,1,0,0,0,DEU_AAH-1_120073_T-1
6.059396,77,6862.860229,0,0,0,0,0,DEU_AAH-1_1400184_T-1
-188.5169,227,6889.252233,0,0,1,0,0,DEU_AAH-1_180070_T-1
65.4,161,6911.78335,0,0,0,0,1,DEU_AAH-1_150016_T-1
-140.413041,290,6939.043624,0,0,1,0,0,DEU_AAH-1_150026_T-1
65.8,131,6954.376831,0,0,0,0,1,DEU_AAH-1_90028_T-1
-65.274811,228,6980.564589,0,1,0,0,0,DEU_AAH-1_80062_T-1
66.2,138,6994.124301,0,0,0,0,1,DEU_AAH-1_80026_T-1
65.7,152,7012.121891,0,0,0,0,1,DEU_AAH-1_100021_T-1
66.1,119,7026.905795,0,0,0,0,1,DEU_AAH-1_110044_T-1
-29.63217,121,7045.492551,0,0,0,1,0,DEU_AAH-1_80019_T-1
64.7,137,7061.150602,0,0,0,0,1,DEU_AAH-1_110092_T-1
66.4,118,7074.642934,0,0,0,0,1,DEU_AAH-1_100068_T-1
-23.628434,155,7099.677274,0,0,0,1,0,DEU_AAH-1_100097_T-1
66.4,118,7120.495269,0,0,0,0,1,DEU_AAH-1_90033_T-1
66.6,137,7146.91679,0,0,0,0,1,DEU_AAH-1_170089_T-1
66.3,119,7162.186268,0,0,0,0,1,DEU_AAH-1_90033_T-1
64.4,169,7186.552536,0,0,0,0,1,DEU_AAH-1_80085_T-1
64.8,137,7212.459914,0,0,0,0,1,DEU_AAH-1_180054_T-1
63.5,125,7227.597732,0,0,0,0,1,DEU_AAH-1_170098_T-1
65.6,134,7240.940178,0,0,0,0,1,DEU_AAH-1_100071_T-1
65.7,135,7259.444926,0,0,0,0,1,DEU_AAH-1_110035_T-1
1.464021,55,7269.190735,0,0,0,0,0,DEU_AAH-1_1200142_T-1
66.0,140,7287.19822,0,0,0,0,1,DEU_AAH-1_90072_T-1
-66.496185,239,7311.582795,0,1,0,0,0,DEU_AAH-1_1500331_T-1
-65.151716,219,7335.527246,0,1,0,0,0,DEU_AAH-1_100083_T-1
0.646553,55,7353.595619,0,0,0,0,0,DEU_AAH-1_150061_T-1
65.6,157,7373.621702,0,0,0,0,1,DEU_AAH-1_160044_T-1
0.646553,55,7391.734009,0,0,0,0,0,DEU_AAH-1_150061_T-1
65.8,126,7405.870277,0,0,0,0,1,DEU_AAH-1_100071_T-1
60.7,93,7420.023206,0,0,0,0,1,DEU_AAH-1_180070_T-1
0.277594,44,7436.707501,0,0,0,0,0,DEU_AAH-1_90083_T-1
66.293939,122,7453.305267,0,0,0,0,1,DEU_AAH-1_90047_T-1
-57.33451,200,7477.60874,0,1,0,0,0,DEU_AAH-1_100040_T-1
-8.3932,22,7481.789723,0,0,0,0,0,DEU_AAH-1_80020_T-1
65.1,144,7501.930483,0,0,0,0,1,DEU_AAH-1_100095_T-1
66.2,117,7517.501637,0,0,0,0,1,DEU_AAH-1_110044_T-1
64.4,185,7547.414858,0,0,0,0,1,DEU_AAH-1_80070_T-1
65.9,140,7565.102364,0,0,0,0,1,DEU_AAH-1_90012_T-1
65.7,139,7586.753152,0,0,0,0,1,DEU_AAH-1_90081_T-1
66.3,133,7604.690318,0,0,0,0,1,DEU_AAH-1_150022_T-1
65.7,135,7624.227956,0,0,0,0,1,DEU_AAH-1_100091_T-1
-70.570252,216,7658.577716,0,0,1,0,0,DEU_AAH-1_120041_T-1
68.6,96,7674.089274,0,0,0,0,1,DEU_AAH-1_170093_T-1
